cgmDatenum_ 1,cgmDatenum_ 2,cgmDatenum_ 3,cgmDatenum_ 4,cgmDatenum_ 5,cgmDatenum_ 6,cgmDatenum_ 7,cgmDatenum_ 8,cgmDatenum_ 9,cgmDatenum_10,cgmDatenum_11,cgmDatenum_12,cgmDatenum_13,cgmDatenum_14,cgmDatenum_15,cgmDatenum_16,cgmDatenum_17,cgmDatenum_18,cgmDatenum_19,cgmDatenum_20,cgmDatenum_21,cgmDatenum_22,cgmDatenum_23,cgmDatenum_24,cgmDatenum_25,cgmDatenum_26,cgmDatenum_27,cgmDatenum_28,cgmDatenum_29,cgmDatenum_30,cgmDatenum_31
737013.582280093,737013.57880787,737013.5753356479,737013.5718634259,737013.5683912041,737013.564918982,737013.561446759,737013.557974537,737013.554502315,737013.551030093,737013.54755787,737013.5440856479,737013.5406134259,737013.5371412041,737013.533668982,737013.530196759,737013.526724537,737013.523252315,737013.519780093,737013.51630787,737013.5128356479,737013.5093634259,737013.5058912041,737013.502418982,737013.498946759,737013.495474537,737013.492002315,737013.488530093,737013.48505787,737013.4815856479,737013.4781134259
737010.598854167,737010.5953819441,737010.5919097221,737010.5884375,737010.5849652779,737010.5814930559,737010.578020833,737010.574548611,737010.571076389,737010.567604167,737010.5641319441,737010.5606597221,737010.5571875,737010.5537152779,737010.5502430559,737010.546770833,737010.543298611,737010.539826389,737010.536354167,737010.5328819441,737010.5294097221,737010.5259375,737010.5224652779,737010.5189930559,737010.515520833,737010.512048611,737010.508576389,737010.505104167,737010.5016319441,737010.4981597221,737010.4946875
737008.577881944,737008.574409722,737008.5709375,737008.567465278,737008.563993056,737008.560520833,737008.557048611,737008.5535763891,737008.5501041671,737008.546631944,737008.543159722,737008.5396875,737008.536215278,737008.532743056,737008.529270833,737008.525798611,737008.5223263891,737008.5188541671,737008.515381944,737008.511909722,737008.5084375,737008.504965278,737008.501493056,737008.498020833,737008.494548611,737008.4910763891,737008.4876041671,737008.484131944,737008.480659722,737008.4771875,737008.473715278
737007.5882638891,737007.5847916671,737007.5813194441,737007.577847222,737007.574375,737007.570902778,737007.5674305559,737007.563958333,737007.560486111,737007.5570138891,737007.5535416671,737007.5500694441,737007.546597222,737007.543125,737007.539652778,737007.5361805559,737007.532708333,737007.529236111,737007.5257407409,737007.522268519,737007.518796296,737007.5153240741,737007.5118518521,737007.50837963,737007.504907407,737007.501435185,737007.497962963,737007.4944907409,737007.491018519,737007.487546296,737007.4840740741
737005.627337963,737005.623865741,737005.620393518,737005.616921296,737005.6134490741,737005.6099768521,737005.60650463,737005.603032407,737005.599560185,737005.596087963,737005.592615741,737005.589143518,737005.585671296,737005.5821990741,737005.5787268521,737005.57525463,737005.571782407,737005.568310185,737005.564837963,737005.561365741,737005.557893518,737005.554421296,737005.5509490741,737005.5474768521,737005.54400463,737005.540532407,737005.537060185,737005.533587963,737005.530115741,737005.526643518,737005.523171296
737099.722407407,737099.718935185,737099.715462963,737099.711990741,737099.708518518,737099.7050462959,737099.7015740741,737099.6981018521,737099.69462963,737099.691157407,737099.687685185,737099.684212963,737099.680740741,737099.677268518,737099.6737962959,737099.6703240741,737099.6668518521,737099.66337963,737099.659907407,737099.656423611,737099.6529513891,737099.6494791671,737099.646006944,737099.642534722,737099.6390625,737099.635590278,737099.632118056,737099.628645833,737099.625173611,737099.6217013891,737099.6182291671
737098.611203704,737098.607731481,737098.6042592591,737098.600787037,737098.597314815,737098.593842593,737098.59037037,737098.586898148,737098.5834259259,737098.579953704,737098.576481481,737098.5730092591,737098.569537037,737098.566064815,737098.562592593,737098.55912037,737098.555648148,737098.5521759259,737098.548703704,737098.545231481,737098.5417592591,737098.538287037,737098.534814815,737098.531342593,737098.52787037,737098.524398148,737098.5209259259,737098.517453704,737098.513981481,737098.5105092591,737098.5070370368
737097.701446759,737097.697974537,737097.694502315,737097.691030093,737097.68755787,737097.6840856479,737097.6806134259,737097.677141204,737097.673668982,737097.670196759,737097.666724537,737097.663252315,737097.659780093,737097.65630787,737097.6528356479,737097.6493634259,737097.645891204,737097.642384259,737097.638912037,737097.635439815,737097.631967593,737097.62849537,737097.625023148,737097.6215509259,737097.6180787041,737097.614606482,737097.611134259,737097.607662037,737097.604189815,737097.600717593,737097.597245371
737088.51068287,737088.5072106479,737088.5037384259,737088.500266204,737088.496793982,737088.493321759,737088.489849537,737088.486377315,737088.482905093,737088.47943287,737088.4759606479,737088.4724884259,737088.469016204,737088.465543982,737088.462071759,737088.458599537,737088.455127315,737088.451655093,737088.44818287,737088.4447106479,737088.4412384259,737088.437766204,737088.434293982,737088.430821759,737088.427349537,737088.423877315,737088.420405093,737088.41693287,737088.4134606479,737088.4099884259,737088.406516204
737078.683310185,737078.679837963,737078.676365741,737078.672893518,737078.669421296,737078.6659490741,737078.6624768521,737078.65900463,737078.655532407,737078.652060185,737078.648587963,737078.645115741,737078.641643518,737078.638171296,737078.6346990741,737078.6312268521,737078.62775463,737078.624282407,737078.620810185,737078.617337963,737078.613865741,737078.610393518,737078.606921296,737078.6034490741,737078.5999768521,737078.59650463,737078.593032407,737078.589560185,737078.586087963,737078.582615741,737078.5791435189
