,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32
PC-1,9.852825142889482e-05,0.008643428633201312,0.0012796383564525997,0.0012893450149002986,0.0006593491672177098,0.0005132538938582806,0.00025672336307484036,1.1838060583419985e-05,-0.00014366921079808558,3.086230381435802e-05,9.988894166323312e-05,0.00017764484585722473,8.12427331075988e-05,9.28543590031876e-06,-0.0002727118116901299,-0.0003413886864718333,-9.182194558352862e-05,-4.357438189672975e-05,-6.218233604919766e-05,-0.00011297431490215206,-0.00038376250775718726,-0.0002740418293991911,0.00010453397553343158,0.00031506345117436407,0.0005434778227440457,0.000251537260570387,2.1069813067926162e-05,5.453692843765967e-05,6.696899932735067e-05,6.623454774484658e-05,0.9970049108377322,0.06960281191339804,0.03250972904672374
PC-2,0.0009652636112832642,0.0014811325367692408,0.02080386269730256,0.006211830502144218,0.0016092451330328025,0.0008802733792990802,0.001212900083110588,0.0011677210518554523,0.0009881510233331649,5.565641113943064e-05,4.1859412396037086e-05,-0.0004043988506054438,0.0007783764942184293,0.00019214552399901872,-0.0003833099604100623,0.0006091870817436212,-0.0015544199852609813,0.0006355180297891716,-0.0005866171281628404,-0.00046746365898816904,0.0016127493604380096,-0.0009517641445949229,0.00024143770761076013,3.8130539857982736e-05,-0.0010385202008738098,0.00212864914482518,0.0005413669704410873,0.00035760622346752726,0.00022974815934015657,0.0001743369233733865,-0.07502018754291327,0.9734688462544273,0.21502161700768121
3,-0.0050092727807042065,0.001948227364471767,-0.007986968728414827,-0.03408605608401148,-0.004300372786045796,-0.001075629226650601,0.0011571628336651185,-0.0024337569066046633,-0.005553361361484348,6.188653110205865e-05,0.00028512262711468105,-0.00033314079396997093,0.0009657051506925468,-0.0015606146169653125,0.0029256575862355956,0.00286579540636166,-0.003926497983156931,-0.0009481218990438308,0.0030001621542015207,0.0013461140436373522,-0.001482081735933096,-0.0065671908731615375,0.00044224612300652644,0.0005167506909724484,-0.0010029306717518499,0.0014414855754719866,-0.004177583398645722,-0.0004998495227071238,0.00014085328862430778,0.00031989729374247823,0.016684549443340236,0.2171014829774238,-0.975275406981879
4,0.029058219330400127,-0.9442925248029759,0.13546979441770823,-0.08280186542719266,-0.15880657793373187,-0.14401343781054673,-0.0801267168553459,-0.00025238343739432146,0.045788570599728885,-0.007205804519523536,-0.006324676739997192,-0.00959087798200975,-0.006942593623147793,-0.002726395664060639,0.013592772785689183,0.07008076964232718,0.06941361049961176,0.04562240490564159,0.019544780816774642,0.05841497247309914,0.07595365189486117,0.05952038311104385,-0.02301622704318153,-0.017064219012096066,-0.028730016181324168,-0.02218997478607474,-0.008291996580672456,-0.007884167942102144,-0.008405272872792304,-0.00547787956510226,0.008433235316391681,0.0001899555036869941,-9.037194963753433e-07
5,0.10300150368040141,-0.09182384268615539,0.06921059362524556,-0.048337768576406114,0.30733561524030123,0.37332411900605794,0.45969932088713195,0.5073824509251046,0.4782260051905912,0.006009040004560123,0.0006415590635028639,-0.011726880371681897,0.021057056841480605,0.0245964233548329,0.07111423343608107,0.09996814300586794,-0.005357880679955893,-0.027589433362285396,0.05508694412998116,0.06743255864530856,0.08335553179496913,-0.0167940933439083,0.020950489690210072,0.004923200384110177,-0.027612383976449186,0.061101028498475714,0.07189636851685276,0.01962094923010205,0.008604974931536164,0.007180313923836729,0.0007497818390638691,-0.002882484863045729,-0.0048225183659795605
