,0,1,2,3,4,1
0,51882.43260322074,12120.755655656714,-3830.857493606157,171.87198632790867,-66.78238764582701,1
1,11898.567412390163,2698.3180286750235,-3580.0217431870983,-6.7926540464762954,-142.27712936284792,0
2,11924.623900488305,2443.092766839477,-4408.574949262223,-163.7506023830645,-126.38860249150243,1
3,4894.669439715319,3060.234652053732,-5638.141989008819,-89.15870920960981,-221.79804457028845,0
4,46958.232471059564,1295.9907300922644,-6347.102103394842,-58.00820172408948,33.1543324132221,0
5,79358.53410419481,463.30546764063797,-4376.5419942257795,-132.82427646098213,35.2678454098569,1
6,20668.944023662294,4171.451705748003,-2515.6674671462156,40.69144748830584,-122.5571142163047,1
7,13973.140380269784,3282.4439757622094,-5298.78142981789,-0.14106636941602302,-140.71262351506593,0
8,3878.851973965044,2070.1802762889165,-4561.626356388622,-83.67950824674053,-82.12670726931405,1
9,19679.920334189366,12902.201209910578,-863.9564535794636,78.03093938520489,-120.3235943074199,1
10,28292.04654038178,8366.472885371035,-4468.061084030196,-137.3915970754041,2.2522739345509133,0
11,17296.528415970093,2235.9195878418045,-3486.0774910481055,-11.438084250430682,-161.7985253530837,0
12,1205.0363459654534,3499.6363463295506,-7202.7674401143895,-12.70296200974342,-22.084872861850236,0
13,13619.46446389374,2151.7959389030616,-2666.4870753208816,-81.91902898265278,-164.21258475040392,0
14,1791.0357128426986,1905.6731572381755,-3527.0837000839706,-47.66804569430856,-29.043956721368207,0
15,5900.993822389499,2951.7088515385426,-3091.148853725859,-31.38241961377889,-170.61923834237396,0
16,365.8275031984323,1379.333212762066,-2800.957970972337,-46.582658239989634,-47.31487094406123,0
17,28468.26193510955,9890.703571654069,-3289.063861194655,-123.32960822365266,-21.7576401276166,1
18,53842.24973996238,949.2521726484207,-6444.095097499627,-28.030100206573596,-46.64021639689973,1
19,3720.1255784411696,2587.0262859060804,-3896.851482698472,-93.25869680309168,-97.95730176156322,1
20,13754.80229497573,2083.5471741032807,-5190.737275503112,-44.57117665195972,-142.21732847749342,0
21,9352.137761333317,2818.196199989256,-4315.203539107536,-119.77849869273523,-83.801963170742,0
